3363,7364,0.87649477
3363,8719,1.7142857
3363,11512,1.2826734
3363,12042,1.1571611
3363,19191,1.7147399
3363,21388,1.067458
3363,23181,0.54482657
3363,24452,3
3363,37978,0.931423
3363,38883,0.39082223
3363,43330,0.7912596
3363,44141,0.9319735
3363,44866,0.6400991
3363,62918,1.2435241
3363,70993,2.2673223
3363,71017,1.2910081
3363,78440,0.56561273
3363,86539,0.89062726
3363,86552,0.59643674
3363,87012,0.5709799
3363,87186,0.6433919
3363,92101,0.825834
3363,93356,0.79411113
3363,99794,-0.20286435
3363,120876,0.7966435
3363,121966,0.2092729
3363,133420,0.3064264
3363,133422,-0.4620387
3363,133829,0.8736057
3363,133891,0.9289884
3363,135560,0.7081273
3363,139277,0.91377515
3363,143475,1.9219352
3363,158179,-4.738547
3363,158685,0.88022965
3363,181625,1.9754597
